순위,시군구,위치,학교명,학교유형,응시자수,평균,국어,영어,수학,특목고진학률,대학교진학률,진학수,졸업자수,위도,경도
3,도봉구,도봉구 방학동,창동중학교,중학교,298,84.4,91.6,84.9,76.9,8.5,,18,211,37.66322957,127.0489975
4,도봉구,도봉구 쌍문동,정의여자중학교,중학교,179,83.8,95,87.1,69.3,10.6,,14,132,37.65335584,127.0324273
5,도봉구,도봉구 창동,창일중학교,중학교,310,83.5,91.9,82.2,76.4,3,,7,226,37.64898751,127.0469136
6,도봉구,도봉구 방학동,신방학중학교,중학교,234,82.7,92.3,78.6,77.3,0,,0,143,37.66414043,127.028899
7,도봉구,도봉구 창동,창북중학교,중학교,232,75.1,87.5,69.8,68.1,1.6,,3,177,37.64911577,127.0388329
8,도봉구,도봉구 쌍문동,신도봉중학교,중학교,238,71.5,87.4,66.8,60.5,1.8,,3,165,37.64959473,127.0332017
9,도봉구,도봉구 도봉동,북서울중학교,중학교,211,71.1,85.8,63.5,64,4.7,,7,146,37.68154186,127.0428342
10,도봉구,도봉구 쌍문동,효문중학교,중학교,192,69.4,85.4,62,60.9,3.6,,4,111,37.65269871,127.0184005
11,도봉구,도봉구 쌍문동,백운중학교,중학교,233,67.1,82.8,60.1,58.4,4.9,,7,142,37.65640592,127.0359041
12,도봉구,도봉구 도봉2동,도봉중학교,중학교,256,67.1,85.6,62.2,53.5,2.2,,3,133,37.67088384,127.0458717
13,도봉구,도봉구 방학동,방학중학교,중학교,222,56.1,75.7,46,46.8,2.6,,4,149,37.66546957,127.030859
1,도봉구,도봉구 창동,서울외국어고등학교,고등학교,268,98,97.8,99.6,96.6,,60.4,133,220,37.64578079,127.0515087
2,도봉구,도봉구 쌍문동,선덕고등학교,고등학교,387,97.7,97.9,98.2,97.2,,66.7,247,370,37.65634868,127.0268766
3,도봉구,도봉구 쌍문동,정의여자고등학교,고등학교,383,87.2,90.3,90.6,80.7,,52.7,135,256,37.65335584,127.0324273
4,도봉구,도봉구 창1동,창동고등학교,고등학교,414,73.7,75.4,79,66.9,,47.5,163,343,37.65103577,127.0388191
5,도봉구,도봉구 도봉동,도봉고등학교,고등학교,103,66,61.2,68.9,68,,45.4,35,77,37.67088384,127.0458717
6,도봉구,도봉구 쌍문동,효문고등학교,고등학교,176,64.2,68.8,62.5,61.4,,40.5,62,153,37.65269871,127.0184005
7,도봉구,도봉구 도봉동,누원고등학교,고등학교,189,62.4,63.8,65.2,58.4,,42.8,66,154,37.68556896,127.0499327
8,도봉구,도봉구 창동,자운고등학교,고등학교,291,54.8,55.3,60.9,48.3,,44,96,218,37.65902067,127.0506763
1,동대문구,동대문구 회기동,경희여자중학교,중학교,217,86.3,94.9,84.3,79.7,2.2,,3,134,37.59394914,127.054891
2,동대문구,동대문구 휘경동,휘경여자중학교,중학교,187,86.2,97.3,85.6,75.9,1.3,,2,153,37.58190052,127.0674341
3,동대문구,동대문구 전농동,전농중학교,중학교,176,80.5,89.2,76.8,75.7,2.2,,3,135,37.58204428,127.0592794
4,동대문구,동대문구 신설동,대광중학교,중학교,178,79.3,89.3,78.6,70.2,1.6,,2,119,37.57795467,127.0253235
5,동대문구,동대문구 휘경동,전동중학교,중학교,164,78.8,92.1,74.4,70.1,1.3,,2,146,37.58619359,127.0709291
6,동대문구,동대문구 전농동,전일중학교,중학교,185,78.2,89.7,73.5,71.4,1.3,,2,146,37.58250018,127.0583795
7,동대문구,동대문구 회기동,경희중학교,중학교,224,75.1,91.1,69.6,64.7,0.6,,1,154,37.59394914,127.054891
8,동대문구,동대문구 제기동,정화여자중학교,중학교,74,74.3,91.9,67.6,63.5,0,,0,48,37.58604864,127.0410078
9,동대문구,동대문구 제기동,성일중학교,중학교,116,71.8,83.6,68.1,63.8,0,,0,97,37.58185023,127.0338291
10,동대문구,동대문구 답십리동,숭인중학교,중학교,119,71.4,87.4,68.1,58.8,0.8,,1,114,37.57392046,127.0440889
11,동대문구,동대문구 장안동,동국대학교사범대학부속중학교,중학교,207,68.4,82.1,64.3,58.9,1.3,,2,152,37.57804718,127.0751705
12,동대문구,동대문구 청량리동,청량중학교,중학교,191,68,85.3,64.2,54.7,1.4,,2,139,37.58821921,127.0506225
13,동대문구,동대문구 장안동,장평중학교,중학교,268,66.2,81.4,59.1,58.2,1.3,,3,219,37.56685961,127.0704776
14,동대문구,동대문구 휘경동,휘경중학교,중학교,154,65.3,78.6,58.4,59.1,1.1,,1,84,37.58709299,127.0617461
15,동대문구,동대문구 전농1동,동대문중학교,중학교,254,63.8,79.9,58,53.7,1.9,,3,157,37.57452207,127.0519943
1,동대문구,동대문구 회기동,경희여자고등학교,고등학교,268,91.4,94,94.8,85.5,,53.6,80,149,37.59394914,127.054891
2,동대문구,동대문구 신설동,대광고등학교,고등학교,342,89.7,88.3,93.6,87.4,,56,175,312,37.57795467,127.0253235
3,동대문구,동대문구 장안동,동국대학교사범대학부속고등학교,고등학교,390,87.1,81.5,90.5,89.5,,70.1,207,295,37.57804718,127.075133
4,동대문구,동대문구 전농동,해성여자고등학교,고등학교,288,86.2,91.7,89.9,77.1,,44.4,96,216,37.5818726,127.0569769
5,동대문구,동대문구 휘경동,휘경여자고등학교,고등학교,347,84.8,87.9,86.5,80.1,,50.7,135,266,37.58190052,127.0674341
6,동대문구,동대문구 회기동,경희고등학교,고등학교,266,84.6,83.5,87.2,83.1,,55.1,135,245,37.59394914,127.054891
7,동대문구,동대문구 휘경동,휘봉고등학교,고등학교,180,55.3,57.2,60,48.9,,45.5,66,145,37.58647725,127.068852
8,동대문구,동대문구 청량리1동,청량고등학교,고등학교,362,54.3,59.9,59.5,43.5,,33.9,88,259,37.588886,127.051311
1,동작구,동작구 대방동,숭의여자중학교,중학교,197,93.7,98.5,96.5,86.3,2.3,,4,170,37.50736414,126.9292433
2,동작구,동작구 신대방동,대방중학교,중학교,310,88.6,95.5,87.7,82.6,5.8,,16,273,37.49543678,126.9130162
3,동작구,동작구 동작동,동작중학교,중학교,142,85.4,89.4,85.9,81,1.3,,2,143,37.49546195,126.9778016
4,동작구,동작구 상도동,상현중학교,중학교,208,84.9,92.3,83.7,78.9,3.6,,6,166,37.49398955,126.9603433
5,동작구,동작구 사당동,상도중학교,중학교,171,83.6,91.2,80.8,79,1.4,,2,142,37.4909219,126.9614756
6,동작구,동작구 대방동,성남중학교,중학교,261,83.4,87.3,82.4,80.5,1.4,,3,206,37.50528157,126.9266153
7,동작구,동작구 흑석동,중앙대학교사범대학부속중학교,중학교,289,80.5,90.3,79.6,71.6,1.6,,3,184,37.50362942,126.9617326
8,동작구,동작구 본동,동양중학교,중학교,137,79.5,91.2,74.5,73,2.5,,3,120,37.51022314,126.9574775
9,동작구,동작구 신대방동,문창중학교,중학교,164,79.1,91.5,75.8,70.1,1.4,,2,137,37.49580287,126.9224055
10,동작구,동작구 상도동,국사봉중학교,중학교,158,77.6,89.9,75.3,67.7,0,,0,104,37.49353263,126.9440557
11,동작구,동작구 상도동,장승중학교,중학교,248,77.5,88.3,76.3,67.9,1.8,,4,215,37.50314858,126.940834
12,동작구,동작구 대방동,영등포중학교,중학교,88,75,89.8,79.6,55.7,0,,0,74,37.5080846,126.9331435
13,동작구,동작구 사당동,사당중학교,중학교,170,70.9,80,68.2,64.7,1.9,,3,151,37.48776119,126.9685407
14,동작구,동작구 대방동,강남중학교,중학교,168,69.8,82.7,67.9,58.9,1.4,,2,139,37.50276263,126.9233466
15,동작구,동작구 사당4동,남성중학교,중학교,148,66.7,81.8,56.1,62.2,0,,0,123,37.47900822,126.972489
16,동작구,동작구 상도동,강현중학교,중학교,170,65.2,82.9,59.4,53.5,0.7,,1,128,37.50311599,126.9307563
1,동작구,동작구 동작동,경문고등학교,고등학교,300,91.1,91,93,89.4,,50.5,91,180,37.49341886,126.9822734
2,동작구,동작구 대방동,숭의여자고등학교,고등학교,348,90.3,94.5,93.1,83.3,,52.4,137,261,37.50736414,126.9292433
3,동작구,동작구 신대방동,수도여자고등학교,고등학교,383,77.5,82,82.3,68.2,,45.5,139,305,37.49280146,126.9149071
4,동작구,동작구 대방동,성남고등학교,고등학교,452,74.2,71.7,78.1,73,,52.5,168,320,37.50528157,126.9266153
5,동작구,동작구 사당동,동작고등학교,고등학교,275,60.7,64.7,65.6,51.8,,44,97,220,37.48260194,126.9650863
6,동작구,동작구 대방동,영등포고등학교,고등학교,180,59,57.2,66.1,53.9,,48.3,88,182,37.5080846,126.9331435
